id,text,binary_label
390880,"Im Studio von @1730Sat1live sprechen wir heute mit Stefan Schulte, dem Vorstandsvorsitzenden der @FraportAG, über die Lage am Frankfurter Flughafen. Bundespräsident Steinmeier übergibt in #Mainz die Welterbe-Urkunde der @UNESCO für frühere Zentren jüdischer Gelehrsamkeit in #RLP. https://t.co/YD6POoLhaU",0.0
428200,"Die Frauen &amp; Männer im #Iran haben einen Wunsch: Freiheit! Macht gerne mit und unterschreibt.
#IRGCterrorists
Klimaaktivisten
https://t.co/BH1rSPApC9",1.0
416522,"Politiker*innen samt #LinksgrüneMedien und #ÖRR (Tautologie), die @Markus_Soeder und die @CSU bei #G7 in der traditionellen Tracht der #Bayern ausgelacht und diskrimiert haben.
#widerlich 
#Doppelmoral 

https://t.co/8jlS5ppNSi",1.0
429148,gigi hat einfach überhaupt keine lust mehr auf lucas. gigi 🤝 wir alle #ibes,0.0
391306,"In Österreich 🇦🇹 ist  Bundespräsident @vanderbellen für eine 2. Amtszeit angelobt worden. In einer grundsätzlich gehaltenen Rede hob er hervor, wie wichtig eine ""intakte Medienlandschaft"" ist für das Funktionieren der Demokratie - und er warnte vor den Gefahren von #FakeNews. https://t.co/Bcj2W7KXbH",0.0
472531,"Was ist der Mindestlohn pro Stunde in Vietnam? 
https://t.co/VQof8kwRlL",0.0
387903,"#GretaThunberg will jetzt den #Kapitalismus überwinden.
#Greta und alle #Klimahysteriker, grüne Vorfeldorganisationen sollten sich das hinter die Ohren schreiben: https://t.co/nIBAWTvrov",0.0
428099,das ist ja schlimmer als wenn er eigenmächtig mit #IRGCterrorists treffen würde. Dan verarschen ja Mitgliedstaaten ihre Bürger*innen. #josepe_borell_supports_IRGC,0.0
389509,"Ab 19 Uhr spiele ich mit @BerniMad im 10-minütigen Wechsel den Survival Horror Titel @CallistoTheGame! 😁

Wir spielen mit Pulsmesser und brauchen noch eine Bestrafung für den höchsten Puls.

Habt ihr Ideen? 😆

Zum Game: https://t.co/CCiRPP05tQ #Werbung #TheCallistoProtocol https://t.co/Jt7upp1nJo",0.0
378978,"Gerhard Kardinal Müller: ""Wenn man Gott leugnet, sind die Folgen klar: jakobinischer Terrorismus, Gulag-Terrorismus, Auschwitz-Lager, die Killing Fields, Katyn, aber auch Abtreibung und Euthanasie.""
https://t.co/ZbvXFwHZcq",0.0
390183,Deutscher Bundeskanzler Scholz kündigte Plan zum Ausbau der Windkraft an:  https://t.co/3fpRVBOPJw,0.0
387073,"Die 40 jährige Dichterin, politische Aktivistin #NasimShahbazi wurde von Revolutionsgarden am 06.10.2020 verhaftet. Ihre Leiche wurde am 28.10.2020 gefunden. @UN_HRC @PahlaviReza @amnesty @ABaerbock @ZDFheute @ZDF 
#MahsaAmini 
#FactFinding",0.0
387656,"Volles Haus gestern bei der Kundgebung der #Bayernpartei auf dem Tanner #Wachsmarkt im #Schützenkeller.

Bei allen Themen heute wurde klar:
Wir wollen mehr Entscheidungen vor Ort in Bayern, statt weltfremder Berliner Politik!
@HubertDornBP @ThomasPfefferBP https://t.co/2x1X5gvG1L",0.0
406452,#Drostenluegt nicht!,0.0
